row,column,value,bus_id,stop_id,grey,day,pax,pax_type,pax_round,pax_floor
625,232.632,#F7FAFF,10,18,253.2,Mon,0.203389830508474,boarding,0,0
650,232.632,#C8DBEC,10,19,229,Mon,2.93785310734463,boarding,3,2
675,232.632,#ECF4FF,10,20,250.9,Mon,0.46327683615819,boarding,0,0
700,232.632,#DDF0FF,10,21,248.6,Mon,0.723163841807907,boarding,1,0
725,232.632,#D3EAF0,10,22,235.9,Mon,2.15819209039548,boarding,2,2
200,235.48,#F7FAFF,11,1,253.2,Mon,0.203389830508474,boarding,0,0
225,235.48,#F7FAFF,11,2,253.2,Mon,0.203389830508474,boarding,0,0
250,235.48,#F6FBFF,11,3,253.3,Mon,0.192090395480221,boarding,0,0
275,235.48,#F2F7FD,11,4,250.7,Mon,0.485875706214689,boarding,0,0
300,235.48,#F7FBFE,11,5,252.7,Mon,0.259887005649716,boarding,0,0
325,235.48,#E7EBF4,11,6,240.9,Mon,1.59322033898305,boarding,2,1
350,235.48,#DBE7F5,11,7,239.6,Mon,1.74011299435028,boarding,2,1
375,235.48,#F7FAFF,11,8,253.2,Mon,0.203389830508474,boarding,0,0
400,235.48,#E8F2F4,11,9,242.4,Mon,1.42372881355932,boarding,1,1
425,235.48,#F3F4F6,11,10,245.3,Mon,1.09604519774011,boarding,1,1
450,235.48,#1D63A8,11,11,140.3,Mon,12.9604519774011,boarding,13,12
475,235.48,#AFCCD0,11,12,203.9,Mon,5.77401129943502,boarding,6,5
500,235.48,#EBF2FC,11,13,248.3,Mon,0.757062146892654,boarding,1,0
525,235.48,#0C3972,11,14,92.4,Mon,18.3728813559322,boarding,18,18
550,235.48,#2362A5,11,15,138.6,Mon,13.1525423728814,boarding,13,13
575,235.48,#F7FAFF,11,16,253.2,Mon,0.203389830508474,boarding,0,0
600,235.48,#B4CFDA,11,17,212,Mon,4.85875706214689,boarding,5,4
625,235.48,#F7FAFF,11,18,253.2,Mon,0.203389830508474,boarding,0,0
650,235.48,#CADDEC,11,19,229.6,Mon,2.87005649717514,boarding,3,2
675,235.48,#B6CFE5,11,20,219.9,Mon,3.96610169491526,boarding,4,3
700,235.48,#D2E2F2,11,21,235.6,Mon,2.19209039548023,boarding,2,2
725,235.48,#E6EDFD,11,22,247.5,Mon,0.847457627118644,boarding,1,0
200,238.328,#F7FAFF,12,1,253.2,Mon,0.203389830508474,boarding,0,0
225,238.328,#F7FAFF,12,2,253.2,Mon,0.203389830508474,boarding,0,0
250,238.328,#EAEFF3,12,3,241.3,Mon,1.54802259887005,boarding,2,1
275,238.328,#F1F8FF,12,4,252.2,Mon,0.316384180790958,boarding,0,0
300,238.328,#F7FBFE,12,5,252.7,Mon,0.259887005649716,boarding,0,0
325,238.328,#F8FCFF,12,6,253.7,Mon,0.146892655367232,boarding,0,0
350,238.328,#F5FEFF,12,7,253.8,Mon,0.135593220338979,boarding,0,0
375,238.328,#F7FBFE,12,8,252.7,Mon,0.259887005649716,boarding,0,0
400,238.328,#90B4CC,12,9,193.2,Mon,6.98305084745763,boarding,7,6
425,238.328,#D6E7EE,12,10,234.2,Mon,2.35028248587571,boarding,2,2
450,238.328,#003573,12,11,91.1,Mon,18.5197740112994,boarding,19,18
475,238.328,#74A5CD,12,12,188.1,Mon,7.5593220338983,boarding,8,7
500,238.328,#EDF6FF,12,13,251.4,Mon,0.406779661016948,boarding,0,0
525,238.328,#0B3269,12,14,84.6,Mon,19.2542372881356,boarding,19,19
550,238.328,#B6E1FF,12,15,241.7,Mon,1.50282485875706,boarding,2,1
575,238.328,#F7FAFF,12,16,253.2,Mon,0.203389830508474,boarding,0,0
600,238.328,#BBDFEB,12,17,227.8,Mon,3.07344632768361,boarding,3,3
625,238.328,#F7FAFF,12,18,253.2,Mon,0.203389830508474,boarding,0,0
650,238.328,#A7CDE4,12,19,217.3,Mon,4.25988700564971,boarding,4,4
675,238.328,#C5DBE8,12,20,225.9,Mon,3.28813559322034,boarding,3,3
700,238.328,#EEFAFF,12,21,252.3,Mon,0.305084745762709,boarding,0,0
725,238.328,#D6E7FB,12,22,243.3,Mon,1.32203389830508,boarding,1,1
200,241.176,#F7FAFF,13,1,253.2,Mon,0.203389830508474,boarding,0,0
225,241.176,#F7FAFF,13,2,253.2,Mon,0.203389830508474,boarding,0,0
250,241.176,#F7FAFF,13,3,253.2,Mon,0.203389830508474,boarding,0,0
275,241.176,#E8ECF5,13,4,241.9,Mon,1.48022598870056,boarding,1,1
300,241.176,#F7FCFF,13,5,253.6,Mon,0.158192090395474,boarding,0,0
325,241.176,#F7FAFF,13,6,253.2,Mon,0.203389830508474,boarding,0,0
350,241.176,#F7FAFF,13,7,253.2,Mon,0.203389830508474,boarding,0,0
375,241.176,#F7FAFF,13,8,253.2,Mon,0.203389830508474,boarding,0,0
400,241.176,#D7EAF8,13,9,241.9,Mon,1.48022598870056,boarding,1,1
425,241.176,#DAE8F1,13,10,236.9,Mon,2.045197740113,boarding,2,2
450,241.176,#82B7D7,13,11,200.1,Mon,6.20338983050847,boarding,6,6
475,241.176,#A2CFE6,13,12,218.6,Mon,4.11299435028248,boarding,4,4
500,241.176,#EBF4F9,13,13,246.6,Mon,0.949152542372879,boarding,1,0
525,241.176,#08326E,13,14,87.8,Mon,18.8926553672316,boarding,19,18
550,241.176,#21619E,13,15,133.3,Mon,13.7514124293785,boarding,14,13
575,241.176,#F9FAFE,13,16,252.7,Mon,0.259887005649716,boarding,0,0
600,241.176,#F2F2FE,13,17,250.4,Mon,0.519774011299436,boarding,1,0
625,241.176,#F7FAFF,13,18,253.2,Mon,0.203389830508474,boarding,0,0
650,241.176,#85B8D3,13,19,197.8,Mon,6.46327683615819,boarding,6,6
675,241.176,#8CC5D9,13,20,205.3,Mon,5.61581920903955,boarding,6,5
700,241.176,#D2E3F5,13,21,237.9,Mon,1.93220338983051,boarding,2,1
725,241.176,#84B6CF,13,22,194.5,Mon,6.8361581920904,boarding,7,6
200,244.024,#F7FAFF,14,1,253.2,Mon,0.203389830508474,boarding,0,0
225,244.024,#F7FAFF,14,2,253.2,Mon,0.203389830508474,boarding,0,0
250,244.024,#F7FAFF,14,3,253.2,Mon,0.203389830508474,boarding,0,0
275,244.024,#E3F1FE,14,4,248.7,Mon,0.711864406779661,boarding,1,0
300,244.024,#F8FCFF,14,5,253.7,Mon,0.146892655367232,boarding,0,0
325,244.024,#F7FAFF,14,6,253.2,Mon,0.203389830508474,boarding,0,0
350,244.024,#EFF2F7,14,7,245.2,Mon,1.10734463276836,boarding,1,1
375,244.024,#F7FAFF,14,8,253.2,Mon,0.203389830508474,boarding,0,0
400,244.024,#E2ECF5,14,9,241.3,Mon,1.54802259887005,boarding,2,1
425,244.024,#EEFCFF,14,10,252.7,Mon,0.259887005649716,boarding,0,0
450,244.024,#E9FAFF,14,11,251.8,Mon,0.361581920903951,boarding,0,0
475,244.024,#D9EBF9,14,12,243,Mon,1.35593220338983,boarding,1,1
500,244.024,#F9FCFF,14,13,253.8,Mon,0.135593220338979,boarding,0,0
